-1	84	126	154	252	238	140	28	56	0	98	196	14	224	266	
182	-1	42	98	112	154	28	210	168	140	266	70	224	126	0	
210	238	-1	84	266	168	196	56	182	14	224	98	0	112	70	
92	176	190	-1	148	204	106	260	78	57	29	22	8	120	64	
72	16	156	240	-1	142	2	128	86	226	198	212	100	58	184	
158	-1	74	18	46	-1	102	32	60	214	172	4	130	242	200	
229	145	19	215	257	187	-1	117	159	33	131	201	89	75	173	
245	77	133	161	217	147	49	-1	273	91	203	231	105	63	189	
217	91	105	140	203	126	245	154	-1	266	189	49	175	231	119	
191	261	205	247	51	65	135	177	163	-1	149	79	219	107	37	
233	23	51	136	93	247	219	-1	261	9	-1	65	-1	37	107	
130	270	256	235	39	179	53	165	221	144	207	-1	74	102	88	
109	53	151	165	193	263	179	235	67	95	81	137	-1	207	249	
67	11	249	53	137	81	151	193	95	235	165	263	25	-1	179	
167	195	139	223	27	55	97	83	209	111	237	153	125	41	-1	
