-1	183	197	113	1	99	211	225	57	239	169	127	267	141	253	
42	-1	14	154	252	140	196	210	70	126	112	56	98	238	168	
68	82	-1	166	236	250	96	152	138	54	222	264	180	124	208	
219	247	23	-1	261	37	233	30	51	212	268	2	240	170	93	
84	28	112	70	-1	56	224	238	182	168	154	210	14	42	196	
14	224	42	126	266	-1	112	182	168	70	28	238	154	196	210	
72	86	2	16	100	254	-1	170	128	156	142	268	30	184	58	
90	104	216	272	174	48	76	-1	20	132	244	202	62	34	188	
157	269	255	199	31	87	241	143	-1	3	227	45	185	213	101	
63	259	203	77	7	147	91	231	175	-1	217	161	189	273	49	
248	234	108	178	80	136	52	94	164	38	-1	206	66	150	192	
25	179	193	137	109	95	11	67	151	81	123	-1	249	221	165	
131	215	89	47	257	19	229	159	75	103	201	173	-1	145	271	
206	164	38	108	192	24	80	178	94	136	262	52	234	-1	248	
153	265	27	223	97	83	237	111	251	181	13	41	55	69	-1	
