-1	226	16	44	58	184	72	142	86	268	198	240	2	30	
130	-1	144	214	256	46	242	200	4	158	74	172	270	186	
102	60	-1	186	242	256	270	228	130	32	4	158	88	214	
173	12	250	-1	236	82	166	110	263	201	33	5	96	26	
159	19	75	103	-1	271	173	5	229	187	89	131	215	201	
90	230	174	244	34	-1	146	62	216	20	188	202	160	104	
216	34	118	230	48	76	-1	90	160	104	62	20	6	132	
76	118	48	20	146	132	188	-1	272	244	174	216	104	160	
203	105	21	77	63	49	259	35	-1	91	147	189	245	175	
135	219	149	37	79	261	205	9	233	-1	51	163	65	191	
10	192	80	178	164	24	136	94	220	248	-1	206	262	234	
54	82	12	194	222	40	236	152	96	26	68	-1	180	138	
125	69	167	223	13	55	251	27	153	139	41	111	-1	83	
167	55	41	153	69	13	223	251	111	97	125	265	195	-1	
