-1	135	254	86	268	233	107	261	65	93	23	177	212	
58	-1	163	142	254	128	233	191	93	23	149	261	44	
146	244	-1	174	34	104	90	132	272	216	76	202	48	
160	76	62	-1	90	146	48	202	230	104	272	216	20	
188	174	230	244	-1	76	132	48	20	272	160	62	202	
52	220	206	248	262	-1	24	38	108	66	178	150	164	
41	153	237	223	69	195	-1	181	167	55	251	83	139	
167	97	27	55	237	139	265	-1	69	153	83	195	125	
195	265	41	27	139	237	97	223	-1	83	125	181	153	
15	225	141	43	29	183	127	253	211	-1	169	267	197	
142	16	198	100	44	268	30	212	58	72	-1	156	240	
240	30	58	128	170	72	212	44	254	100	226	-1	16	
129	185	157	255	101	31	227	269	73	59	87	143	-1	
