-1	212	16	44	198	156	72	226	268	240	2	142	100	58	
114	-1	170	198	16	268	184	142	254	30	226	240	58	2	
184	44	-1	30	268	142	254	2	100	58	198	156	86	128	
254	100	212	-1	58	2	226	170	240	86	128	72	142	268	
86	128	72	156	-1	44	2	184	142	170	100	226	254	240	
62	202	48	160	174	-1	230	6	188	272	258	244	132	90	
7	63	35	105	147	77	-1	259	91	119	161	133	245	217	
162	50	148	36	92	218	190	-1	246	134	232	106	176	204	
78	134	232	8	64	106	176	22	-1	162	148	260	204	50	
92	232	218	190	106	148	204	64	36	-1	176	78	50	22	
135	9	107	247	191	23	51	79	219	261	-1	205	93	37	
219	149	93	177	51	37	23	9	191	247	65	-1	163	233	
12	208	250	222	40	264	138	68	26	180	236	82	-1	124	
167	83	223	13	27	251	111	97	153	209	181	41	195	-1	
