-1	212	240	184	100	198	156	170	268	142	2	30	226	
119	-1	105	273	161	133	175	217	63	245	21	231	203	
161	189	-1	63	21	77	91	231	175	259	203	217	119	
72	2	170	-1	58	86	100	30	114	16	212	128	268	
9	79	135	191	-1	93	149	51	205	107	37	247	261	
34	48	272	160	174	-1	216	244	20	202	118	188	146	
253	85	211	225	15	29	-1	1	183	197	127	43	57	
82	96	26	124	166	152	68	-1	264	208	180	236	110	
88	256	46	200	32	102	74	144	-1	214	228	158	130	
55	69	181	153	237	97	265	41	83	-1	223	167	27	
94	185	73	80	241	192	269	255	52	59	-1	262	17	
135	142	37	205	114	2	240	16	93	51	100	-1	254	
45	52	185	38	66	234	248	199	241	192	164	150	-1	
