-1	15	141	197	127	239	155	183	113	253	57	1	169	225	
99	-1	57	113	225	183	197	253	1	43	239	85	155	267	
267	211	-1	1	169	43	225	239	183	15	113	127	29	197	
86	30	72	-1	268	58	212	226	254	156	184	170	240	16	
45	119	101	175	-1	31	17	59	241	147	87	255	217	73	
80	262	108	220	234	-1	38	3	157	213	73	269	143	87	
61	75	131	5	229	201	-1	145	271	187	243	47	103	33	
20	188	48	34	202	230	216	-1	76	90	104	160	132	244	
204	246	22	120	106	50	92	260	-1	218	36	176	64	232	
36	106	162	50	246	64	120	176	8	-1	78	22	260	204	
163	23	205	9	261	254	51	198	170	233	-1	156	268	191	
136	220	38	66	94	150	262	10	80	192	248	-1	52	108	
249	39	193	81	25	207	179	221	165	151	109	235	-1	11	
40	166	82	236	208	26	250	96	152	54	68	180	138	-1	
