-1	8	57	232	148	22	106	176	85	197	211	99	225	43	29	
128	-1	184	198	268	16	240	226	170	44	86	30	254	58	100	
163	51	-1	65	233	247	205	191	72	212	128	226	107	156	240	
171	3	255	-1	87	101	59	241	45	143	31	129	17	213	73	
18	74	32	200	-1	4	60	88	158	186	172	46	144	102	130	
158	214	18	270	256	-1	46	74	32	130	60	186	88	144	200	
270	158	88	186	214	172	-1	200	4	102	74	144	32	18	256	
256	144	46	158	270	-1	130	-1	18	32	102	60	172	186	214	
188	62	216	146	76	104	244	230	-1	272	258	174	202	132	90	
134	190	22	246	260	36	218	106	8	-1	64	78	92	176	148	
78	232	36	92	106	176	8	218	50	162	-1	120	148	204	190	
36	106	92	190	134	8	232	162	22	204	246	-1	218	148	260	
64	134	8	78	36	190	176	50	120	155	43	113	-1	127	183	
219	247	79	23	191	233	163	93	37	51	135	65	261	-1	9	
93	219	177	135	205	79	65	37	163	233	23	51	247	107	-1	
