-1	241	199	269	17	3	143	45	255	31	73	101	213	59	
136	-1	164	192	150	262	248	234	220	3	59	45	87	31	
130	228	-1	4	242	256	270	186	32	18	158	88	144	74	
172	102	214	-1	32	242	200	256	88	60	130	228	186	46	
159	271	103	145	-1	75	187	89	131	172	5	201	47	229	
89	159	47	117	215	-1	173	33	201	187	145	131	19	103	
230	20	118	76	265	62	-1	132	48	216	34	244	104	90	
118	76	62	160	20	230	6	-1	104	244	202	272	174	146	
188	146	174	20	62	272	160	216	-1	118	244	76	230	6	
105	91	203	273	35	7	147	49	259	-1	231	161	77	133	
9	177	219	65	163	51	191	93	135	23	-1	261	149	107	
37	107	9	93	51	219	177	191	205	65	79	-1	23	233	
94	206	234	52	136	164	220	262	66	178	38	248	-1	10	
193	200	207	179	67	249	256	25	165	221	214	123	242	-1	
