-1	84	238	14	266	126	140	182	210	112	42	70	0	196	168	
224	-1	28	56	252	210	70	14	196	98	182	168	238	266	112	
56	140	-1	210	14	42	224	84	0	126	168	182	112	252	70	
253	155	99	-1	29	267	113	197	239	85	71	43	141	127	225	
156	128	198	184	-1	100	44	72	170	142	114	226	86	2	58	
30	2	156	170	240	-1	198	114	184	58	226	142	16	72	254	
74	144	32	214	270	130	-1	242	18	256	88	172	60	102	186	
4	102	172	18	256	46	158	-1	214	270	60	88	228	186	32	
48	76	188	6	244	258	202	118	-1	104	160	62	146	174	230	
231	203	217	189	63	161	49	77	35	-1	147	119	175	21	133	
191	51	233	247	9	107	177	219	23	261	-1	93	205	135	79	
220	10	80	150	108	66	38	234	178	248	255	-1	136	262	129	
164	150	248	52	220	262	192	94	234	108	38	24	-1	10	66	
25	123	95	235	151	165	207	39	109	179	67	53	81	-1	221	
97	41	265	162	209	83	125	153	13	27	237	195	181	139	-1	
