-1	118	128	44	268	198	16	86	226	100	72	142	212	30	
254	-1	198	268	16	156	170	2	184	58	128	100	30	72	
2	44	-1	254	226	240	100	16	170	142	212	156	86	268	
114	86	184	-1	2	142	30	72	198	128	58	240	100	16	
185	143	31	157	-1	87	255	213	101	171	199	59	45	129	
132	230	104	20	272	-1	146	118	216	34	174	258	188	48	
237	77	6	209	189	53	-1	126	112	176	154	35	139	61	
231	63	133	175	105	203	49	-1	253	7	246	91	161	21	
50	36	78	92	204	8	260	190	-1	106	148	176	246	120	
205	191	23	219	79	163	93	149	233	-1	65	247	51	135	
179	11	39	193	137	235	81	53	25	263	-1	109	123	95	
11	221	95	53	151	25	165	263	67	39	207	-1	81	235	
61	109	12	229	250	4	264	242	14	117	224	270	-1	259	
107	226	191	205	240	247	198	100	212	44	219	86	170	-1	
