-1	210	28	98	56	42	0	252	70	238	182	84	196	168	
140	-1	112	224	182	126	84	98	42	56	252	154	168	196	
157	269	-1	45	17	142	73	129	199	101	3	59	255	185	
248	3	241	-1	73	59	17	171	129	157	87	143	185	213	
200	32	214	270	-1	4	158	256	60	186	144	102	130	172	
272	258	34	202	90	-1	48	104	188	146	118	160	230	244	
231	21	203	189	245	133	-1	7	147	35	105	175	119	77	
149	191	51	233	65	177	93	-1	219	79	261	205	247	163	
192	178	136	24	164	38	52	108	-1	66	10	80	234	262	
136	234	24	52	108	10	164	262	206	-1	192	150	178	220	
24	38	164	150	234	52	220	136	248	94	-1	66	80	178	
268	72	226	30	240	16	254	2	170	212	198	-1	44	128	
66	52	10	108	220	24	262	38	94	248	206	164	-1	192	
12	68	82	138	250	96	208	26	152	40	110	236	124	-1	
