-1	254	170	184	128	30	268	72	226	100	44	142	58	2	
76	-1	160	188	90	118	174	230	20	202	104	132	62	244	
240	37	-1	233	268	107	156	191	51	23	198	261	219	254	
96	54	166	-1	208	250	124	40	264	194	138	152	82	68	
197	155	183	50	-1	232	85	225	260	113	64	36	246	22	
192	45	227	87	59	-1	255	171	80	52	178	73	136	213	
138	264	250	222	166	40	-1	54	68	180	96	110	194	152	
178	108	66	199	101	262	185	-1	24	248	80	45	234	269	
85	169	127	15	43	155	211	113	-1	253	57	1	29	239	
213	31	143	129	17	241	59	87	73	-1	171	157	227	185	
155	225	85	257	1	113	239	253	183	267	-1	229	211	127	
209	41	55	237	251	167	27	125	195	223	69	-1	97	13	
159	215	89	145	173	19	75	117	187	47	131	201	-1	103	
92	50	78	176	218	64	260	162	148	120	204	190	36	-1	
