-1	252	238	189	42	56	266	175	21	84	7	70	147	
126	-1	259	245	196	0	14	182	168	91	140	63	231	
140	154	-1	196	91	14	182	168	0	126	245	105	217	
259	35	49	-1	77	182	126	91	140	154	105	0	14	
270	46	200	144	-1	256	186	4	116	130	158	18	172	
118	202	174	6	104	-1	230	146	34	244	62	188	48	
130	102	4	270	60	74	-1	256	144	200	172	214	18	
101	31	59	241	73	213	87	-1	157	227	17	45	199	
107	79	212	65	226	198	261	247	-1	30	93	184	44	
16	177	205	233	261	79	135	163	149	-1	2	219	65	
229	75	117	201	33	131	47	187	271	215	-1	145	257	
167	209	27	237	111	125	41	139	83	97	13	-1	195	
3	59	73	213	87	157	241	269	129	143	101	31	-1	
