-1	3	185	73	17	213	59	87	143	31	241	157	101	269	45	
174	-1	230	62	202	160	132	272	188	76	104	20	118	34	90	
249	39	-1	109	123	151	235	221	263	81	11	165	137	207	179	
229	243	201	-1	215	187	271	159	89	103	117	257	33	5	131	
198	30	254	58	-1	170	44	240	184	2	100	128	142	226	72	
137	250	53	39	11	-1	81	264	179	123	207	221	165	109	95	
208	26	68	54	110	194	-1	180	222	264	124	138	96	12	40	
204	148	92	50	176	22	106	-1	134	260	78	246	232	64	120	
27	111	195	251	83	69	153	55	-1	97	139	209	125	167	13	
149	9	191	23	93	233	163	37	247	-1	51	205	107	177	219	
130	256	158	18	270	46	4	172	228	214	-1	74	88	60	144	
264	180	96	12	54	26	250	152	40	68	194	-1	82	236	110	
253	197	267	113	211	57	169	15	239	43	183	225	-1	29	1	
117	215	19	145	89	243	75	187	257	47	201	103	131	-1	173	
233	184	58	205	149	268	254	212	79	156	23	240	247	51	-1	
