-1	65	23	163	233	79	191	149	247	93	51	205	107	37	219	
261	-1	247	177	107	51	233	205	9	37	79	23	219	191	163	
135	93	-1	233	37	65	9	191	107	205	177	149	79	219	51	
226	240	170	-1	268	212	107	198	184	51	135	79	149	65	9	
10	220	262	206	-1	192	52	24	164	178	248	66	136	94	80	
179	235	165	95	123	-1	151	249	221	25	11	137	39	109	207	
130	88	74	4	214	46	-1	158	32	256	102	165	95	249	172	
82	96	124	40	110	54	222	-1	264	194	236	180	166	208	138	
124	208	194	26	40	82	138	68	-1	236	96	110	180	54	152	
187	229	103	222	75	201	68	89	47	-1	33	19	173	82	250	
139	181	55	13	27	195	209	153	167	125	-1	41	111	69	83	
15	169	85	155	127	29	57	253	225	99	267	-1	141	239	1	
239	29	225	85	57	155	197	102	253	15	1	211	-1	43	267	
158	102	32	256	228	270	186	60	172	214	200	74	130	-1	88	
97	55	209	111	237	69	41	27	13	167	223	195	125	181	-1	
