-1	199	87	213	17	241	157	255	129	171	73	143	101	3	
113	-1	43	127	225	1	267	57	211	71	15	253	85	29	
228	144	-1	186	270	102	4	200	46	74	256	172	18	60	
53	263	11	-1	151	25	81	137	95	109	179	249	165	193	
232	22	64	218	-1	246	204	260	106	92	162	78	50	8	
46	172	32	200	158	-1	256	144	214	18	228	74	186	88	
224	168	98	238	112	70	-1	28	42	14	252	210	182	126	
21	133	91	231	35	63	273	-1	7	217	77	49	175	245	
268	100	240	156	184	58	142	226	-1	114	170	86	72	16	
59	185	157	31	213	129	199	87	255	-1	101	45	227	241	
183	239	127	43	57	155	85	211	29	267	-1	197	1	141	
272	90	244	62	188	6	104	160	230	118	132	-1	202	34	
29	155	211	253	169	267	57	239	197	141	113	127	-1	43	
187	229	131	75	173	271	47	103	201	145	215	257	159	-1	
