-1	83	265	139	55	251	125	153	181	237	69	195	167	
255	-1	87	185	59	31	45	143	199	171	227	101	73	
98	238	-1	210	168	154	56	196	126	70	182	14	140	
231	77	91	-1	189	133	259	175	273	161	245	105	203	
212	128	44	254	-1	16	226	86	72	268	198	156	184	
27	167	83	265	97	-1	41	139	223	125	55	237	69	
16	212	254	198	142	184	-1	170	156	86	268	30	100	
226	268	30	44	240	212	72	-1	254	100	16	184	58	
51	23	233	16	177	149	65	135	-1	261	100	142	107	
105	49	217	63	77	245	203	21	189	-1	231	273	147	
135	107	79	149	51	219	23	261	163	37	-1	65	93	
36	204	260	22	232	162	148	246	78	92	176	-1	190	
42	154	224	84	28	196	238	126	266	14	210	252	-1	
