-1	112	98	252	84	42	224	168	14	210	182	238	56	
27	-1	153	41	195	125	181	97	209	13	251	223	139	
263	235	-1	221	123	207	67	53	179	137	25	193	165	
105	168	112	-1	28	182	196	133	91	231	0	14	245	
206	80	248	164	-1	94	150	66	136	262	178	52	108	
178	262	38	66	24	-1	192	248	164	150	220	10	80	
89	243	131	33	19	257	-1	271	229	187	75	215	103	
77	0	217	49	231	140	14	-1	105	196	259	126	35	
140	56	84	154	252	28	126	238	-1	168	42	70	112	
133	266	7	56	70	84	98	42	21	-1	224	112	252	
271	159	201	138	117	5	264	82	194	103	-1	187	68	
20	132	76	202	258	146	6	62	174	48	90	-1	118	
128	72	2	86	268	16	170	184	198	30	240	44	-1	
