-1	97	174	125	55	153	272	188	20	160	76	230	90	
34	-1	188	160	202	48	146	132	104	62	244	272	230	
259	91	-1	231	245	105	35	63	161	147	273	49	21	
49	21	77	-1	175	273	245	203	147	35	217	91	105	
217	77	133	259	-1	231	91	49	273	105	35	21	161	
246	176	218	134	148	-1	22	260	92	190	204	64	36	
107	219	205	65	191	163	-1	233	135	261	51	177	79	
14	266	196	56	182	168	140	-1	98	42	126	238	28	
182	252	42	84	154	238	28	210	-1	266	168	196	224	
28	238	224	252	196	84	126	154	70	-1	182	140	168	
252	42	98	140	238	28	210	224	14	56	-1	154	84	
42	28	168	210	126	252	98	84	56	14	70	-1	266	
213	73	129	17	59	157	241	255	143	101	199	185	-1	
