-1	216	258	202	90	104	48	62	76	146	34	160	230	
41	-1	195	223	125	83	265	237	153	167	139	181	27	
132	104	-1	188	160	20	202	34	146	174	230	272	244	
20	132	76	-1	230	160	90	272	244	34	216	174	146	
188	202	48	104	-1	216	174	132	272	76	244	34	62	
273	259	91	63	147	-1	35	245	49	231	189	203	175	
245	189	63	259	21	133	-1	161	210	273	147	77	217	
176	148	218	50	260	78	232	-1	204	190	22	106	92	
163	233	23	177	93	219	107	37	-1	135	65	191	261	
52	94	262	108	178	24	206	66	248	-1	38	220	80	
223	251	55	69	153	97	27	125	265	195	-1	237	181	
27	55	69	265	195	139	251	41	97	153	83	-1	125	
85	211	141	57	169	267	155	253	197	239	15	225	-1	
