-1	125	237	97	41	55	27	83	111	209	167	195	181	13	69	
220	-1	150	24	10	234	164	94	52	66	206	262	136	80	178	
174	89	-1	272	20	244	160	188	202	258	6	132	230	104	146	
229	131	75	-1	47	173	89	159	215	103	257	145	201	187	243	
142	100	156	268	-1	198	170	16	30	226	86	58	212	2	254	
251	41	13	83	125	-1	181	69	223	97	27	167	111	153	139	
153	251	97	13	69	265	-1	111	125	139	55	83	195	209	41	
202	244	48	20	90	258	174	-1	34	146	104	62	118	6	272	
188	174	62	118	104	48	272	132	-1	230	90	244	146	160	258	
134	190	1	36	78	162	246	218	57	-1	176	120	8	22	92	
73	31	185	59	241	101	227	213	171	17	-1	129	143	157	269	
103	159	215	5	187	33	19	229	75	47	201	-1	257	271	89	
87	73	59	17	129	185	45	31	269	157	3	171	-1	101	227	
256	144	200	32	74	18	60	88	228	172	46	116	242	-1	214	
160	104	34	62	6	230	188	76	20	202	118	174	48	132	-1	
