-1	95	102	67	207	74	193	81	172	53	221	179	88	39	
29	-1	183	113	1	127	43	15	155	141	57	211	267	253	
201	33	-1	96	47	159	187	152	257	124	138	110	75	243	
3	199	17	-1	101	143	73	157	185	171	129	241	31	87	
57	85	225	267	-1	239	197	113	141	183	29	43	253	127	
136	24	66	220	94	-1	150	10	164	108	178	262	234	192	
127	225	57	253	15	211	-1	239	99	169	155	141	1	267	
186	172	4	46	214	88	32	-1	228	200	102	270	60	74	
108	234	38	248	52	80	262	136	-1	220	66	192	178	150	
254	240	212	58	72	2	86	128	30	-1	226	156	100	44	
35	147	231	21	189	245	91	259	203	7	-1	77	133	161	
258	90	174	62	146	34	202	132	48	230	216	-1	188	104	
14	168	238	210	98	56	112	182	84	224	196	28	-1	70	
113	99	29	225	211	15	183	141	57	197	239	169	155	-1	
